Date Num,Incident Date,State,City Or County,Address,Num Killed,# Injured,Operations,soFar
124,5/4/2018,Indiana,Terre Haute,1200 E Elmwood Dr,1,0,N/A,
124,5/4/2018,Arizona,Phoenix,5110 Baseline Rd,1,0,N/A,
124,5/4/2018,Georgia,Atlanta,1813 Newman Pl,3,0,N/A,
124,5/4/2018,Utah,Bountiful,135 S 300 W,1,0,N/A,
124,5/4/2018,Georgia,Atlanta,599 Whitehall St SW,1,0,N/A,
124,5/4/2018,Iowa,Davenport,903 E Kimberly Rd,1,0,N/A,
124,5/4/2018,Florida,West Palm Beach,600 block of 37th St,1,0,N/A,
124,5/4/2018,New York,Brooklyn,982 Dekalb Ave,1,0,N/A,
124,5/4/2018,Texas,Sandia,12000 block of N Hwy 359,1,0,N/A,
124,5/4/2018,Vermont,South Burlington,10 Southview Dr,1,0,N/A,
123,5/3/2018,Virginia,Petersburg,100 block of St Mathew St,1,0,N/A,
123,5/3/2018,Missouri,Columbia,3700 block of Greeley Dr,1,0,N/A,
123,5/3/2018,Mississippi,Biloxi (St Martin),Lemoyne Blvd,1,0,N/A,
123,5/3/2018,Pennsylvania,Philadelphia,800 block of N 48th St,1,0,N/A,
123,5/3/2018,California,Orosi,Rd 124 and Dennison Dr,1,1,N/A,
123,5/3/2018,Tennessee,Nashville,433 Opry Mills Dr,1,0,N/A,
123,5/3/2018,New Jersey,Freehold,NJ-33,1,0,N/A,
123,5/3/2018,Illinois,Chicago,8100 block of S Cornell Ave,1,0,N/A,
123,5/3/2018,Texas,Houston,4027 Markham St,2,0,N/A,
123,5/3/2018,Texas,Beaumont,Ewing St and North St,1,2,N/A,
123,5/3/2018,Louisiana,Shreveport,Vine St,1,0,N/A,
123,5/3/2018,Arizona,Tucson,2500 block of S Treat Ave,1,0,N/A,
123,5/3/2018,North Dakota,Grand Forks,1006 S 12th St,4,0,N/A,
123,5/3/2018,Wisconsin,Milwaukee,2600 block of W Auer Ave,1,0,N/A,
